instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
10001,10001,KALYAN,KALYAN,0,,0,0.05,1,EQ,NSE,NSE
10002,10002,HINDZINC,HINDZINC,0,,0,0.05,1,EQ,NSE,NSE
10003,10003,DIXON,DIXON,0,,0,0.05,1,EQ,NSE,NSE
10004,10004,BSE,BSE,0,,0,0.05,1,EQ,NSE,NSE
10005,10005,POLYCAB,POLYCAB,0,,0,0.05,1,EQ,NSE,NSE
10006,10006,INFY,INFY,0,,0,0.05,1,EQ,NSE,NSE
10007,10007,IREDA,IREDA,0,,0,0.05,1,EQ,NSE,NSE
10008,10008,RELIANCE,RELIANCE,0,,0,0.05,1,EQ,NSE,NSE
21001,21001,KALYAN26SEP610CE,KALYAN,0,2026-09-29,610,0.05,1350,CE,NFO-OPT,NFO
21002,21002,KALYAN26SEP610PE,KALYAN,0,2026-09-29,610,0.05,1350,PE,NFO-OPT,NFO
21003,21003,HINDZINC26SEP570CE,HINDZINC,0,2026-09-29,570,0.05,1225,CE,NFO-OPT,NFO
21004,21004,HINDZINC26SEP570PE,HINDZINC,0,2026-09-29,570,0.05,1225,PE,NFO-OPT,NFO
21005,21005,DIXON26SEP16600CE,DIXON,0,2026-09-29,16600,0.05,50,CE,NFO-OPT,NFO
21006,21006,DIXON26SEP16600PE,DIXON,0,2026-09-29,16600,0.05,50,PE,NFO-OPT,NFO
21007,21007,BSE26SEP2500CE,BSE,0,2026-09-29,2500,0.05,375,CE,NFO-OPT,NFO
21008,21008,BSE26SEP2500PE,BSE,0,2026-09-29,2500,0.05,375,PE,NFO-OPT,NFO
21009,21009,POLYCAB26SEP1250CE,POLYCAB,0,2026-09-29,1250,0.05,1000,CE,NFO-OPT,NFO
21010,21010,POLYCAB26SEP1250PE,POLYCAB,0,2026-09-29,1250,0.05,1000,PE,NFO-OPT,NFO
21011,21011,INFY26SEP1500CE,INFY,0,2026-09-29,1500,0.05,400,CE,NFO-OPT,NFO
21012,21012,INFY26SEP1500PE,INFY,0,2026-09-29,1500,0.05,400,PE,NFO-OPT,NFO
21013,21013,IREDA26SEP175CE,IREDA,0,2026-09-29,175,0.05,2875,CE,NFO-OPT,NFO
21014,21014,IREDA26SEP175PE,IREDA,0,2026-09-29,175,0.05,2875,PE,NFO-OPT,NFO
21015,21015,RELIANCE26OCT1400CE,RELIANCE,0,2026-10-27,1400,0.05,250,CE,NFO-OPT,NFO
21016,21016,RELIANCE26OCT1400PE,RELIANCE,0,2026-10-27,1400,0.05,250,PE,NFO-OPT,NFO
